Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
350646,,03 CENTRAL NEW YORK,"I690 OVER VAN RENSSELAER ST, DECK REPLACEMENT","I690 OVER VAN RENSSELAER ST, BIN 1053969 DECK REPLACEMENT, CITY OF SYRACUSE, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,2500000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will replace the deck on the bridge carrying I690 over Van rensselaer Street in the City of Syracuse, Onondaga County. The bridge will also be painted.",,,,,,,
350180,,03 CENTRAL NEW YORK,I81 NB AND SB OVER SPRING BROOK BRIDGE REPLACEMENTS,"I81 NB AND SB OVER SPRING BROOK BRIDGE REPLACEMENTS, BINS 1068051/1068052, TOWN OF RICHLAND, VILLAGE OF PULASKI, OSWEGO COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,3500000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,This project proposes to replace the two bridges carrying I-81 northbound and southbound over Spring Brook in the Village of Pulaski and Town of Richland in Oswego County.,,,,,,,
350181,,03 CENTRAL NEW YORK,"I81 OVER RIDGE RD BRIDGE REHAB, TOWN OF CORTLANDVILLE","I-81 OVER RIDGE ROAD ELEMENT SPECIFIC REHABILITATION, BINS 1031351 &1031352, TOWN OF CORTLANDVILLE, CORTLAND COUNTY",Future Development,,Fall 2023,Winter 2023/2024,Spring 2024,2700000,Yes,Yes,No,This project involves general bridge repairs.,"This project will rehabilitate the two bridges over Ridge Road in the Town of Cortlandville, Cortland County.",,,,,,,
350178,,03 CENTRAL NEW YORK,I81 OVER RT 11 DECK REPLACEMENTS,"I81 OVER RT 11 DECK REPLACEMENTS, BINS 1008431 & 1008432, TOWN OF HOMER, CORTLAND COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,6000000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will replace the decks on two bridges carrying I81 over Route 11 in the Town of Homer, Cortland County.",,,,,,,
350183,,03 CENTRAL NEW YORK,I-81 RECESSED PAVEMENT MARKINGS CORTLAND AND OSWEGO COUNTIES,"I-81 RECESSED PAVEMENT MARKINGS, TOWNS OF MARATHON, LAPEER, CORTLANDVILLE, WEST MONROE, HASTINGS, PARISH, ALBION, RICHLAND AND SANDY CREEK, CORTLAND AND OSWEGO COUNTIES, SAFETY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1400000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will place recessed pavement markings on I-81 in Cortland and Oswego Counties. The recessed markings are installed by first grinding the pavement surface slightly, then applying a glass head-paint, keeping the surface of the marking below the",,,,,,,
3M1000,,03 CENTRAL NEW YORK,INTERSTATE MOWING AND ROADSIDE CLEANUP PROJECT,"INTERSTATE  MOWING AND ROADSIDE CLEANUP PROJECT,  SFY's 2023 & 2024 FOR I81, I481, 481, 370 AND I690 TOWNS OF CLAY, CICERO, DEWITT, GEDDES, ONONDAGA AND SALINA, VILLAGES OF NORTH SYRACUSE AND EAST SYRACUSE, CITY OF SYRACUSE, ONONDAGA COUNTY",Future Development,,Spring 2023,Spring 2023,Spring 2025,1500000,No,Yes,No,This project involves improving the landscape along roads.,"Several times during the warmer weather months, this project will clean shoulders and roadsides and mow grassy areas along the interstate highways in and around the City of Syracuse. The work areas include: I-81 between the north and south I-481 interchan",,,,,,,
3M1900,,03 CENTRAL NEW YORK,INTERSTATE MOWING AND ROADSIDE CLEANUP PROJECT,"INTERSTATE  MOWING AND ROADSIDE CLEANUP PROJECT,  SFY's 2021 & 2022 FOR I81, I481, 481, 370 AND I690 TOWNS OF CLAY, CICERO, DEWITT, GEDDES, ONONDAGA AND SALINA, VILLAGES OF NORTH SYRACUSE AND EAST SYRACUSE, CITY OF SYRACUSE, ONONDAGA COUNTY",Future Development,,Spring 2021,Spring 2021,Winter 2021/2022,1500000,No,Yes,No,This project involves improving the landscape along roads.,"Several times during the warmer weather months, this project will clean shoulders and roadsides and mow grassy areas along the interstate highways in and around the City of Syracuse. The work areas include: I-81 between the north and south I-481 interchan",,,,,,,
3M2000,,03 CENTRAL NEW YORK,INTERSTATE MOWING AND ROADSIDE CLEANUP PROJECT,"INTERSTATE  MOWING AND ROADSIDE CLEANUP PROJECT,  SFY's 2025 & 2026 FOR I81, I481, 481, 370 AND I690 TOWNS OF CLAY, CICERO, DEWITT, GEDDES, ONONDAGA AND SALINA, VILLAGES OF NORTH SYRACUSE AND EAST SYRACUSE, CITY OF SYRACUSE, ONONDAGA COUNTY",Future Development,,Spring 2025,Spring 2025,Spring 2027,1500000,No,Yes,No,This project involves improving the landscape along roads.,"Several times during the warmer weather months, this project will clean shoulders and roadsides and mow grassy areas along the interstate highways in and around the City of Syracuse. The work areas include: I-81 between the north and south I-481 interchan",,,,,,,
380553,,03 CENTRAL NEW YORK,LARGE CULVERT REHAB/REPLACEMENT PROJECT ONONDAGA CO,"LARGE CULVERT REHABILITATION/REPLACEMENT PROJECT, ONONDAGA AND OSWEGO COUNTIES",Future Development,,Spring 2024,Summer 2024,Fall 2024,2200000,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project will rehabilitate and replace various large culverts and maintain and improve the overall highway drainage systems at these locations along State highways in Central New York.,,,,,,,
360282,,03 CENTRAL NEW YORK,"MBC- ROUTE 5, TERRY ROAD TO MYRTLE ST, ONONDAGA COUNTY","MBC- ROUTE 5, TERRY ROAD TO MYRTLE ST, TOWN OF GEDDES, VILLAGE OF SOLVAY, AND CITY OF SYRACUSE, ONONDAGA COUNTY.",Future Development,,Spring 2021,Spring 2021,Fall 2021,3200000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 5 from Terry Road to Myrtle St, a distance of approximately 1.4 miles. Traffic will be maintained on-site using daily lane closures.",,,,,,,
360370,,03 CENTRAL NEW YORK,"MBC RT 11, I-81 MATTYDALE OVAL TO TAFT RD","MbC  ROUTE 11, I-81 MATTYDALE OVAL TO TAFT ROAD, TOWNS OF CLAY AND SALINA, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Spring 2031,700000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 11 from the I-81 Mattydale oval to Taft Road, a distance of just under 1 mile in the Towns of Clay and Salina, Onondaga County.",,,,,,,
304367,,03 CENTRAL NEW YORK,"MBC RT 11, TAFT RD TO BEAR RD","MbC ROUTE 11, TAFT ROAD TO BEAR ROAD,  VILLAGE OF NORTH SYRACUSE, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1200000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 11 between Taft Road and Bear Road, a distance of just over 4 miles in the Village of North Syracuse, Onondaga County.",,,,,,,
360314,,03 CENTRAL NEW YORK,MBC - RT 11; VILLAGE OF PULASKI SOUTH LINE TO NORTH LINE,"PAVEMENT RESURFACING MBC - ROUTE 11, VILLAGE OF PULASKI SOUTH LINE TO NORTH LINE, VILLAGE OF PULASKI, OSWEGO COUNTY, PREVENTIVE MAINTENANCE EXTEND SERVICE LIFE OF PAVEMENT",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,700000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 11 from the south Village of Pulaski line to the North Village of Pulaski line, a distance of approximately 1.3 miles. Traffic will be maintained on-sit",,,,,,,
308224,,03 CENTRAL NEW YORK,"MBC RT 290, THOMPSON RD TO BRIDGE ST","MbC ROUTE 290, THOMPSON ROAD TO BRIDGE STREET, VILLAGE OF EAST SYRACUSE, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Summer 2031,500000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 290 from Thompson Road to Bridge Street, a distance of 1.45 miles in the Village of East Syracuse, Onondaga county.",,,,,,,
306517,,03 CENTRAL NEW YORK,"MBC RT 48, RT 31 TO BALDWINSVILLE VIL N LINE","MbC ROUTE 48, ROUTE 31 TO NORTH VILLAGE OF BALDWINSVILLE  LINE, VILLAGE OF BALDWINSVILLE, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Summer 2031,300000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will mill and pave approximately one mile of Route 48 from Route 31 to the northern Village of Baldwinsville line in the Village of Baldwinsville, Onondaga County.",,,,,,,
380286,,03 CENTRAL NEW YORK,"MBC- RT 49, CO RT 37 TO FISH HATCHERY RD, OSWEGO CO.","MBC-  ROUTE 49 FROM COUNTY ROUTE 37 TO HATCHERY RD,  TOWNS OF CONSTANTIA AND WEST MONROE, OSWEGO COUNTY",Future Development,,Spring 2030,Spring 2030,Spring 2031,1000000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will mill and resurface 1.5 inches of asphalt to improve pavement integrity and rideability on Route 49 from County Route 37 to Fish Hatchery Road in the Towns of West Monroe and Constantia, Oswego County.",,,,,,,
360313,,03 CENTRAL NEW YORK,MBC - RT 49; VILLAGE OF CENTRAL SQUARE WEST LINE TO CR 12,"MbC Route 49; Village of Central Square West Line to County Route 12, Village of Central Square, Oswego County",Future Development,,Fall 2030,Winter 2030/2031,Winter 2030/2031,200000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 49 from the western Village of Central Square line to County Route 12, a distance of just under 0.5 miles. Traffic will be maintained on-site using dail",,,,,,,
307622,,03 CENTRAL NEW YORK,"MBC RT 5/20, RT 326 TO STANDART AVE, CITY OF AUBURN","MbC ROUTE 5/20, ROUTE 326 TO STANDART AVENUE, TOWN OF AURELIUS AND CITY OF AUBURN, CAYUGA COUNTY",Future Development,,Fall 2023,Winter 2023/2024,Fall 2024,4500000,Yes,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"This project will mill and pave Route 5/20 from Route 326 to Standart Avenue, a distance of over 2.6 miles in the Town of Aurelius and City of Auburn, Cayuga County.",,,,,,,
360310,,03 CENTRAL NEW YORK,"MBC - RT 5, THOMPSON RD TO RT 92, TOWN OF DEWITT","MbC - Route 5 (Erie Blvd), Thompson Road to Route 92, Town of Dewitt, Onondaga County",Future Development,,Spring 2021,Spring 2021,Fall 2021,3300000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will remove and replace the top 1.5 inches of asphalt surface in both directions of Route 5 from Thompson Road to Route 92 in the Town of DeWitt, a distance of approximately 1.8 miles. Traffic will be maintained on-site using daily lane closu",,,,,,,
380564,,03 CENTRAL NEW YORK,OVERHEAD SIGN STRUCTURE AND PANEL REPAIR/REPLACE PROJECT,"OVERHEAD SIGN STRUCTURE AND PANEL REPAIR/REPLACE PROJECT, VARIOUS LOCATIONS, REGION WIDE",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,500000,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project will repair structurally deficient overhead sign structures in Central NY. Work may address weld cracks, missing or loose bolts, corrosion, deteriorated footings and may include the repalcement of sign panels.",,,,,,,
380561,,03 CENTRAL NEW YORK,OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACE PROJECT,"REGIONAL OVERHEAD SIGN STRUCTURE & PANEL REPAIR/REPLACEMENT PROJECT.  CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES.  RECONSTRUCTION.  HIGHWAY SAFETY.",Future Development,,Fall 2025,Winter 2025/2026,Fall 2026,500000,Yes,Yes,No,This project involves repair or replacement of overhead sign structures.,"This project will repair or replace structurally deficient overhead sign structures in Cayuga, Cortland, Oswego and Seneca counties. Work may address weld cracks, missing or loose bolts, corrosion, deteriorated footings and may include the repalcement of ",,,,,,,
310423,,03 CENTRAL NEW YORK,"PAVING PROJECT RT 298(BEAR ST), I-690 TO I-81","PAVING PROJECT RT 298(BEAR ST), I-690 TO I-81, CITY OF SYRACUSE, ONONDAGA COUNTY",Future Development,,Spring 2030,Spring 2030,Spring 2031,500000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will remove and replace the top 1-1/2 inches of asphalt on Route 298 (Bear Street) between I-690 and I-81, a distance of 0.8 miles in the City of Syracuse, Onondaga County.",,,,,,,
350654,,03 CENTRAL NEW YORK,RAMP TO I690 WB OVER 690 AND 930T OVER RT 80 BRIDGE REHAB,"RAMP TO I690 WB OVER 690 AND 930T OVER RT 80 BRIDGE REHABILITATION, BINS 1093280 AND 1093290, TOWN OF GEDDES, ONONDAGA COUNTY",Future Development,,Fall 2025,Winter 2025/2026,Spring 2026,13700000,Yes,Yes,No,This project involves general bridge repairs.,"This project includes major bridge rehabilitation plus deck and approach slab replacements to preserve the service life of the existing structures carrying the ramp to I-690 westbound over 690 and Route 930T over Route 80 in the Town of Geddes, Onondaga C",,,,,,,
328722,,03 CENTRAL NEW YORK,"RECON RT 370, LIVERPOOL N VIL LINE TO CYPRESS ST","RECONSTRUCTION RT 370, LIVERPOOL NORTH VILLAGE LINE TO CYPRESS STREET, VILLAGE OF LIVERPOOL, ONONDAGA COUNTY",Future Development,,Fall 2031,Winter 2031/2032,Fall 2032,11900000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This paving project will improve Route 370 from the north Liverpool Village line to Cypress Street in the Village of Liverpool, Onondaga County. The roadway will undergo a complete mill and fill with full repairs. The project will restore the pavement to ",,,,,,,
380754,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,"REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT , CORTLAND, CAYUGA, SENECA, OSWEGO AND TOMPKINS COUNTIES, MULTIPLE LOCATIONS ON AND OFF FEDERAL AID SYSTEM, PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE.",Future Development,,Fall 2020,Fall 2020,Fall 2021,1800000,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cortl,,,,,,,
380758,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT- PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE.,Future Development,,Fall 2028,Winter 2028/2029,Fall 2029,1500000,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cayug,,,,,,,
380501,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,"REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT - PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1500000,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cayug,,,,,,,
380724,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,"REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT - PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Fall 2032,Winter 2032/2033,Fall 2033,1500000,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cayug,,,,,,,
380502,,03 CENTRAL NEW YORK,REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT,"REGIONAL BRIDGE DECK AND JOINT REPAIR PROJECT - PREVENTATIVE MAINTENANCE OF BRIDGES TO EXTEND SERVICE LIFE, CAYUGA, CORTLAND,  OSWEGO AND SENECA COUNTIES",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,1500000,Yes,Yes,No,This project involves general bridge repairs.,This project will repair or replace deficient or damaged bridge joints to minimize water leakage at the joints to extend the service life and preserve bridge decks by either sealing the surface or by applying a thin overlay on state owned bridges in Cayug,,,,,,,
380426,,03 CENTRAL NEW YORK,"REGIONAL BRIDGE PAINTING PROJECT, CAYUGA AND SENECA CO","REGIONAL BRIDGE PAINTING PROJECT, CAYUGA AND SENECA COUNTIES,  CYCLICAL HIGHWAY MAINTENANCE TO  EXTEND SERVICE LIFE.",Future Development,,Summer 2021,Fall 2021,Fall 2022,2000000,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,This project will preserve the remaining life of steel bridges by removing any rust and painting them. Work will take place on bridges on State routes in Cayuga and Seneca Counties.,,,,,,,
380528,,03 CENTRAL NEW YORK,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,"REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT , VARIOUS LOCATIONS, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA, AND TOMPKINS COUNTIES",Future Development,,Fall 2025,Winter 2025/2026,Fall 2021,500000,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380673,,03 CENTRAL NEW YORK,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,"REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT, CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES",Future Development,,Fall 2023,Winter 2023/2024,Fall 2024,500000,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380744,,03 CENTRAL NEW YORK,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,Future Development,,Fall 2029,Winter 2029/2030,Fall 2030,500000,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380616,,03 CENTRAL NEW YORK,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,REGIONAL GROUND MOUNTED SIGN REPLACEMENT PROJECT,Future Development,,Fall 2027,Winter 2027/2028,Spring 2028,500000,Yes,Yes,No,This project involves the installation and maintenance of traffic signs.,This project will replace deficient and non-standard roadside signs at various locations along State highways in Central New York.,,,,,,,
380626,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDE RAIL REPLACEMENT PROJECT, CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES",Future Development,,Winter 2021/2022,Winter 2021/2022,Spring 2023,1000000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380665,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDE RAIL REPLACEMENT PROJECT, CAYUGA, CORTLAND, OSWEGO AND SENECA  COUNTIES",Future Development,,Winter 2022/2023,Winter 2022/2023,Winter 2023/2024,1000000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380575,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDERAIL REPLACEMENT PROJECT, CAYUGA, CORTLAND,  OSWEGO AND SENECA COUNTIES, MULTIPLE LOCATIONS ON AND OFF FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS",Future Development,,Spring 2021,Summer 2021,Fall 2021,1000000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380534,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,"REGIONAL GUIDE RAIL REPLACEMENT PROJECT, VARIOUS LOCATIONS",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1000000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380747,,03 CENTRAL NEW YORK,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,REGIONAL GUIDE RAIL REPLACEMENT PROJECT,Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,1000000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project involves the repair, replacement and installation of guide rail at various locations along State highways in Central New York.",,,,,,,
380598,,03 CENTRAL NEW YORK,REGIONAL LARGE CULVERT REHAB/REPLACEMENT PROJECT,"REGIONAL LARGE CULVERT REHABILITATION/ REPLACEMENT PROJECT, CORTLAND AND SENECA COUNTIES, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, IMPROVE HIGHWAY DRAINAGE SYSTEMS",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,2000000,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project will rehabilitate and replace various large culverts and maintain and improve the overall highway drainage systems at these locations along State highways in Central New York.,,,,,,,
380761,,03 CENTRAL NEW YORK,REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS,"REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS  PROJECT, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Spring 2021,Spring 2021,Spring 2022,2000000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace long line and special pavement markings such as center lines, lane lines, edge lines, turning arrows and roadway lettering that have become worn and faded. Additionally, center line and shoulder ""rumble strips"" will be installed ",,,,,,,
380771,,03 CENTRAL NEW YORK,REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS,"REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS  PROJECT, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Spring 2025,Summer 2025,Spring 2026,2000000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace long line and special pavement markings such as center lines, lane lines, edge lines, turning arrows and roadway lettering that have become worn and faded. Additionally, center line and shoulder ""rumble strips"" will be installed ",,,,,,,
380770,,03 CENTRAL NEW YORK,REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS,"REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS  PROJECT, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Spring 2024,Summer 2024,Spring 2025,900000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace long line and special pavement markings such as center lines, lane lines, edge lines, turning arrows and roadway lettering that have become worn and faded. Additionally, center line and shoulder ""rumble strips"" will be installed ",,,,,,,
380769,,03 CENTRAL NEW YORK,REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS,"REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS PROJECT, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Spring 2023,Summer 2023,Spring 2024,900000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace long line and special pavement markings such as center lines, lane lines, edge lines, turning arrows and roadway lettering that have become worn and faded. Additionally, center line and shoulder ""rumble strips"" will be installed ",,,,,,,
380768,,03 CENTRAL NEW YORK,REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS,"REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS  PROJECT, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Spring 2022,Summer 2022,Spring 2023,2100000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace long line and special pavement markings such as center lines, lane lines, edge lines, turning arrows and roadway lettering that have become worn and faded. Additionally, center line and shoulder ""rumble strips"" will be installed ",,,,,,,
380760,,03 CENTRAL NEW YORK,REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS,"REGIONAL PAVEMENT MARKINGS AND AUDIBLE ROADWAY DELINEATORS  PROJECT, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Winter 2019/2020,Spring 2020,Fall 2020,2000000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace long line and special pavement markings such as center lines, lane lines, edge lines, turning arrows and roadway lettering that have become worn and faded. Additionally, center line and shoulder ""rumble strips"" will be installed ",,,,,,,
380531,,03 CENTRAL NEW YORK,"REGIONAL RETAINING WALL PROJECT, CAYUGA, CORTLAND & SENECA","REGIONAL RETAINING WALL PROJECT,  MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, CAYUGA, CORTLAND AND SENECA  COUNTIES, PREVENTIVE MAINTENENCE TO BRING TO A STATE OF GOOD REPAIR",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,1000000,Yes,Yes,No,This project involves the building of retaining walls to protect traffic.,This project involves the repair of highway retaining walls at various locations along State highways in Central New York.,,,,,,,
380766,,03 CENTRAL NEW YORK,REGIONAL SAFETAP PROJECT,"REGIONAL SAFETAP PROJECT VARIOUS LOCATIONS. CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES. SCOPE AND LOCATIONS TBD, MULTIPLE LOCATIONS ON AND OFF FEDERAL AID SYSTEM, TO IMPROVE SAFETY",Future Development,,Fall 2024,Winter 2024/2025,Fall 2025,1500000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will improve roadside safety by addressing needs identified in surveys by NYSDOT personnel. Items of work may include replacing, or in some cases, removing guiderail, replacing faded or damaged signs, cleaning culverts, flattening slopes or r",,,,,,,
380767,,03 CENTRAL NEW YORK,REGIONAL SAFETAP PROJECT,"REGIONAL SAFETAP PROJECT VARIOUS LOCATIONS. CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES. SCOPE AND LOCATIONS TBD, MULTIPLE LOCATIONS ON AND OFF FEDERAL AID SYSTEM, TO IMPROVE SAFETY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1500000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will improve roadside safety by addressing needs identified in surveys by NYSDOT personnel. Items of work may include replacing, or in some cases, removing guiderail, replacing faded or damaged signs, cleaning culverts, flattening slopes or r",,,,,,,
